job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-1_sample-3__model.cif,7.64,4.18,32.78
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-1_sample-4__model.cif,7.6,4.13,32.77
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-20_sample-0__model.cif,7.63,4.15,30.98
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-20_sample-1__model.cif,7.73,4.22,32.84
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-20_sample-2__model.cif,7.62,4.1,32.31
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-20_sample-3__model.cif,7.61,4.1,31.93
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-20_sample-4__model.cif,7.72,4.14,31.98
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-21_sample-0__model.cif,7.74,4.26,30.61
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-21_sample-1__model.cif,7.82,4.2,32.7
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-21_sample-2__model.cif,7.66,4.14,31.35
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-21_sample-3__model.cif,7.74,4.25,32.3
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-21_sample-4__model.cif,7.76,4.23,31.47
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-22_sample-0__model.cif,7.72,4.32,30.48
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-22_sample-1__model.cif,7.76,4.25,31.92
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-22_sample-2__model.cif,7.62,4.09,29.7
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-22_sample-3__model.cif,7.75,4.27,30.85
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-22_sample-4__model.cif,7.68,4.11,32.16
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-23_sample-0__model.cif,7.72,4.24,29.88
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-23_sample-1__model.cif,7.54,4.23,30.35
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-23_sample-2__model.cif,7.63,4.11,32.53
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-23_sample-3__model.cif,7.6,4.15,31.47
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-23_sample-4__model.cif,7.69,4.14,31.79
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-24_sample-0__model.cif,7.57,4.11,30.49
